ra,dec,phot_g_mean_mag
156099,-74032,39
159816,-74493,54
165664,-74149,76
165995,-74248,76
167811,-74463,79
168100,-74209,79
169674,-74191,76
172619,-74609,69
179759,-74009,72
180935,-74214,61
184252,-74144,77
192106,-74117,79
193860,-74699,78
194110,-74492,70
198694,-74072,78
200308,-74442,69
200418,-74871,72
201278,-74888,47
201826,-74692,66
203551,-74566,69
205508,-74776,75
207552,-74198,76
212109,-74849,59
214498,-74021,77
214834,-74508,71
215886,-74172,78
216026,-74078,80
217914,-74392,73
222876,-74933,69
225564,-74726,73
227800,-74752,80
228464,-74912,69
230240,-74721,78
230622,-74400,65
232391,-74137,71
232592,-74588,78
233523,-74120,80
234500,-74421,76
235113,-74443,79
236401,-74856,74
236780,-74044,77
239989,-74605,74
240223,-74481,75
245072,-74306,70
246241,-74164,80
247996,-74026,80
253113,-74830,75
258567,-74149,69
259148,-74533,62
259947,-74606,75
260010,-74334,76
264599,-74912,73
271521,-74005,74
273800,-74039,80
275865,-74055,78
278868,-74011,80
283428,-74958,74
283916,-74674,76
286734,-74758,74
290178,-74660,78
291426,-74673,78
294135,-74824,80
295845,-74769,72
296071,-74456,75
299843,-74130,74
300234,-74013,63
300415,-74764,67
301210,-74042,78
302126,-74758,70
302267,-74220,75
303322,-74814,72
306891,-74285,76
325122,-74073,69
327703,-74775,79
328235,-74143,80
335301,-74968,61
341086,-74821,77
343617,-74865,73
343990,-74995,75
349612,-74516,78
352774,-74134,80
353095,-74202,68
355885,-74215,77
358579,-74623,77
2663,-73224,68
4316,-73961,78
4418,-73677,78
8941,-73878,79
8948,-73222,77
9572,-73963,73
9669,-73138,69
12344,-73479,80
18046,-73907,70
22563,-73174,79
26333,-73553,76
30493,-73500,77
35167,-73313,70
35717,-73646,57
42185,-73841,62
42376,-73573,77
46342,-73472,71
49034,-73549,79
49740,-73987,71
54051,-73974,73
59672,-73382,77
68564,-73209,65
69305,-73843,74
76539,-73037,63
78853,-73588,65
80634,-73801,63
81662,-73665,71
82609,-73439,79
83687,-73741,46
84261,-73700,66
85928,-73539,78
88807,-73151,74
88870,-73632,77
92677,-73013,76
93675,-73626,66
94715,-73361,73
98258,-73751,79
99174,-73887,80
100903,-73119,61
102222,-73299,79
105261,-73067,79
105298,-73552,75
111813,-73093,79
118835,-73110,80
119816,-73244,63
123676,-73807,74
123677,-73807,72
124937,-73353,77
125518,-73400,53
128173,-73356,59
130385,-73615,70
134233,-73922,66
137945,-73723,74
139765,-73322,79
140078,-73605,76
140525,-73544,80
140635,-73917,78
142853,-73747,74
142901,-73081,48
146128,-73900,77
154453,-73898,80
156185,-73972,62
156705,-73168,56
157758,-73221,43
160273,-73283,69
161444,-73066,79
165506,-73488,71
167113,-73976,76
168460,-73090,73
169837,-73154,80
171297,-73632,68
172949,-73903,68
174161,-73354,78
176199,-73943,67
176218,-73151,65
178330,-73978,80
180461,-73299,69
180951,-73886,78
181078,-73608,77
181546,-73557,54
185561,-73504,68
187290,-73035,77
187398,-73016,80
187678,-73089,66
188042,-73001,56
191915,-73813,70
193006,-73921,76
193857,-73969,79
193964,-73033,69
194371,-73565,78
196895,-73586,77
199498,-73345,70
202033,-73041,79
202605,-73975,70
203019,-73823,76
203995,-73327,71
206091,-73637,74
207862,-73144,71
208275,-73269,70
213295,-73426,71
213651,-73500,76
214989,-73968,66
215556,-73136,80
217033,-73186,73
218464,-73788,77
218872,-73694,64
221071,-73968,80
222319,-73418,80
223307,-73190,55
223309,-73190,75
223937,-73752,79
223941,-73167,77
224961,-73789,79
225025,-73535,80
225348,-73332,77
227869,-73426,77
232878,-73390,54
233313,-73544,72
235089,-73447,56
239611,-73148,79
240159,-73609,79
240567,-73516,66
242524,-73026,77
244598,-73043,66
246997,-73022,74
247970,-73572,79
252937,-73723,67
253624,-73114,77
254978,-73423,70
257714,-73680,69
259747,-73521,79
263046,-73566,71
265612,-73393,73
268729,-73475,78
270161,-73559,80
273141,-73674,58
275778,-73014,80
277149,-73534,77
278231,-73966,57
283042,-73608,78
283307,-73630,69
286301,-73779,80
288321,-73315,73
292046,-73091,70
292755,-73985,74
293202,-73496,73
297347,-73523,73
305310,-73978,74
305383,-73485,80
312905,-73692,79
317222,-73396,78
317350,-73175,55
319606,-73027,69
323127,-73893,67
328685,-73440,73
330373,-73862,78
339435,-73433,79
340650,-73244,79
343528,-73408,78
344595,-73777,78
344918,-73474,75
347149,-73586,57
351275,-73273,71
351728,-73836,72
353468,-73737,78
356777,-73099,77
1127,-72897,72
15224,-72698,73
16327,-72555,79
17273,-72642,79
17507,-72957,72
20059,-72749,74
21002,-72324,78
27345,-72412,78
28730,-72489,80
35236,-72312,78
38274,-72444,77
38434,-72349,67
42351,-72770,79
45714,-72457,80
46354,-72004,73
46548,-72620,79
46680,-72025,66
48092,-72984,74
52772,-72374,80
53557,-72845,80
63279,-72821,73
66740,-72634,76
68646,-72733,70
69326,-72477,74
71344,-72502,79
73015,-72995,78
73273,-72406,62
73367,-72765,73
76240,-72419,79
79328,-72701,79
80272,-72094,79
80687,-72338,75
81671,-72949,74
82393,-72811,76
83903,-72909,79
84134,-72982,77
86950,-72702,63
88769,-72815,75
90437,-72148,70
92808,-72165,77
94559,-72132,77
96418,-72043,79
98520,-72270,80
105238,-72561,79
106327,-72990,75
107832,-72755,79
114951,-72582,78
115456,-72606,37
127223,-72082,69
130345,-72588,70
132459,-72551,60
136287,-72603,43
138132,-72797,77
142110,-72422,77
142959,-72468,77
143205,-72676,77
145664,-72191,65
146492,-72211,67
146698,-72017,76
149549,-72065,75
149772,-72789,77
150047,-72560,79
150273,-72318,75
153449,-72475,78
153482,-72679,79
153529,-72911,80
155114,-72130,58
157417,-72628,73
158585,-72474,80
159087,-72508,79
160770,-72195,74
161042,-72064,60
161110,-72443,62
161580,-72166,76
162922,-72769,77
163500,-72155,74
164416,-72597,78
165728,-72242,67
166467,-72672,78
169379,-72482,78
169961,-72958,65
171046,-72257,55
171277,-72864,79
172076,-72474,64
173935,-72842,62
174658,-72369,70
174854,-72560,70
175782,-72446,71
177277,-72305,79
180877,-72194,78
184099,-72615,62
186216,-72604,66
187573,-72985,70
187632,-72023,80
188116,-72133,38
188200,-72373,80
188819,-72717,76
189884,-72402,80
190072,-72145,73
