name,ra,dec,hip_number,vmag
HIP 21248 ,04 33 30.6295,-29 45 56.995,21248,4.49
HIP 21273 ,04 33 50.8552,+14 50 40.155,21273,4.65
HIP 21281 ,04 33 59.7184,-55 02 42.020,21281,3.3
HIP 21393 ,04 35 33.0717,-30 33 44.318,21393,3.81
HIP 21402 ,04 35 39.2336,+10 09 39.301,21402,4.25
HIP 21421 ,04 35 55.2005,+16 30 35.142,21421,0.87
HIP 21444 ,04 36 19.1406,-03 21 08.813,21444,3.93
HIP 21476 ,04 36 41.4336,+41 15 53.477,21476,4.25
HIP 21589 ,04 38 09.4017,+12 30 39.147,21589,4.27
HIP 21594 ,04 38 10.8709,-14 18 12.913,21594,3.86
HIP 21644 ,04 38 53.5937,-12 07 23.082,21644,4.99
HIP 21683 ,04 39 16.4519,+15 55 04.887,21683,4.67
HIP 21763 ,04 40 26.4939,-19 40 16.525,21763,4.32
HIP 21770 ,04 40 33.8231,-41 51 48.853,21770,4.44
HIP 21881 ,04 42 14.7035,+22 57 25.112,21881,4.27
HIP 22109 ,04 45 30.1410,-03 15 16.649,22109,4.01
HIP 22449 ,04 49 50.1382,+06 57 40.491,22449,3.19
HIP 22453 ,04 49 54.6665,+37 29 17.453,22453,4.89
HIP 22509 ,04 50 36.7223,+08 54 00.909,22509,4.35
HIP 22549 ,04 51 12.3660,+05 36 18.365,22549,3.68
HIP 22667 ,04 52 31.9637,+14 15 02.802,22667,4.71
HIP 22678 ,04 52 37.9992,+36 42 11.507,22678,4.79
HIP 22701 ,04 52 53.6804,-05 27 09.921,22701,4.36
HIP 22783 ,04 54 03.0106,+66 20 33.577,22783,4.26
HIP 22797 ,04 54 15.0956,+02 26 26.417,22797,3.71
HIP 22845 ,04 54 53.7041,+10 09 04.122,22845,4.64
HIP 22957 ,04 56 22.3211,+13 30 52.479,22957,4.06
HIP 23015 ,04 56 59.6162,+33 09 58.087,23015,2.69
HIP 23040 ,04 57 17.2204,+53 45 07.498,23040,4.43
HIP 23123 ,04 58 32.9029,+01 42 50.526,23123,4.47
HIP 23179 ,04 59 15.3754,+37 53 25.737,23179,4.93
HIP 23231 ,04 59 55.7131,-12 32 13.936,23231,4.78
HIP 23362 ,05 01 25.5579,-20 03 06.771,23362,4.91
HIP 23364 ,05 01 26.3449,-07 10 26.321,23364,4.8
HIP 23416 ,05 01 58.1340,+43 49 23.930,23416,3.03
HIP 23453 ,05 02 28.6801,+41 04 33.202,23453,3.69
HIP 23497 ,05 03 05.7041,+21 35 24.222,23497,4.62
HIP 23522 ,05 03 25.0973,+60 26 32.213,23522,4.03
HIP 23595 ,05 04 24.3118,-35 28 58.334,23595,4.55
HIP 23607 ,05 04 34.1384,+15 24 15.050,23607,4.65
HIP 23685 ,05 05 27.6521,-22 22 15.084,23685,3.19
HIP 23693 ,05 05 30.6904,-57 28 22.761,23693,4.71
HIP 23767 ,05 06 30.8690,+41 14 04.707,23767,3.18
HIP 23783 ,05 06 40.6583,+51 35 53.315,23783,4.98
HIP 23835 ,05 07 26.6761,+18 38 42.026,23835,4.91
HIP 23875 ,05 07 51.0340,-05 05 10.546,23875,2.78
HIP 23972 ,05 09 08.7830,-08 45 14.674,23972,4.25
HIP 24010 ,05 09 41.9594,+15 35 50.178,24010,4.81
HIP 24244 ,05 12 17.8874,-11 52 08.914,24244,4.45
HIP 24305 ,05 12 55.8731,-16 12 19.544,24305,3.29
HIP 24327 ,05 13 13.8850,-12 56 28.638,24327,4.36
HIP 24331 ,05 13 17.4796,+02 51 40.512,24331,4.46
HIP 24340 ,05 13 25.7316,+38 29 04.826,24340,4.82
HIP 24372 ,05 13 45.4269,-67 11 07.259,24372,4.81
HIP 24436 ,05 14 32.2712,-08 12 05.901,24436,0.18
HIP 24608 ,05 16 41.2956,+45 59 56.505,24608,0.08
HIP 24659 ,05 17 29.0234,-34 53 39.803,24659,4.81
HIP 24674 ,05 17 36.3989,-06 50 39.790,24674,3.59
HIP 24727 ,05 18 10.5481,+33 22 19.215,24727,4.54
HIP 24813 ,05 19 08.0784,+40 06 02.402,24813,4.69
HIP 24822 ,05 19 16.5898,+22 05 48.088,24822,4.96
HIP 24845 ,05 19 34.5260,-13 10 36.397,24845,4.29
HIP 24927 ,05 20 26.9117,-21 14 23.062,24927,4.7
HIP 25044 ,05 21 45.7477,-00 22 56.889,25044,4.72
HIP 25142 ,05 22 50.0013,+03 32 40.013,25142,4.99
HIP 25247 ,05 23 56.8364,-07 48 28.640,25247,4.13
HIP 25281 ,05 24 28.6171,-02 23 49.698,25281,3.35
