ra,dec,phot_g_mean_mag
152762,-79593,84
153314,-79359,85
154275,-79763,90
156222,-79129,83
157532,-79767,87
158719,-79917,87
161562,-79809,88
162934,-79964,81
163275,-79568,88
163456,-79623,88
166109,-79161,89
166869,-79757,89
169386,-79360,90
172109,-79504,90
173022,-79552,83
173258,-79475,87
174454,-79242,83
174653,-79429,88
180247,-79767,86
181725,-79721,89
181752,-79136,90
188378,-79755,89
190249,-79118,90
191467,-79462,85
194928,-79947,81
195297,-79006,89
195647,-79365,88
198665,-79292,87
199390,-79653,84
199994,-79056,88
201749,-79347,89
203341,-79771,89
204934,-79684,90
205079,-79834,89
205824,-79572,90
206395,-79395,84
207049,-79825,86
211679,-79820,90
212962,-79122,89
217326,-79747,89
217937,-79932,87
218234,-79480,83
219511,-79996,84
222517,-79269,87
222748,-79139,86
223423,-79623,88
224781,-79058,85
227843,-79521,89
228136,-79013,82
228624,-79727,84
228701,-79449,85
228895,-79520,90
229809,-79013,87
233297,-79363,88
234358,-79608,86
236379,-79723,85
237342,-79624,90
244645,-79542,87
245587,-79143,88
247340,-79053,90
251348,-79518,90
252041,-79665,90
252264,-79361,90
254866,-79810,90
257043,-79209,82
262269,-79843,89
268295,-79042,82
269493,-79106,89
270838,-79776,81
271791,-79838,87
273951,-79175,83
274706,-79290,88
281551,-79226,83
283059,-79368,89
283463,-79183,84
283846,-79844,83
284343,-79049,90
288273,-79995,89
289317,-79388,89
292709,-79986,90
293148,-79194,84
293625,-79407,88
298650,-79272,87
303770,-79581,81
305149,-79072,84
305224,-79104,88
321765,-79062,83
328928,-79719,90
331088,-79814,85
333820,-79353,86
335078,-79295,83
335345,-79258,85
336036,-79207,88
337013,-79659,86
338062,-79310,90
338790,-79854,90
340367,-79227,89
342561,-79192,89
342737,-79166,88
349351,-79433,81
357975,-79162,89
358740,-79523,84
359424,-79267,89
2397,-78840,90
2486,-78591,85
3730,-78399,90
4069,-78679,84
6111,-78250,87
8301,-78665,87
8791,-78511,90
9099,-78464,88
11961,-78268,89
15932,-78345,85
16206,-78298,82
16886,-78093,88
17269,-78417,87
17687,-78703,89
18918,-78381,87
23747,-78591,86
25617,-78243,85
27220,-78484,88
27784,-78530,82
30268,-78092,88
31924,-78981,90
34097,-78652,81
34571,-78090,85
37499,-78020,84
37545,-78491,81
37805,-78367,90
39583,-78734,85
41210,-78373,87
42637,-78686,85
43672,-78083,88
45494,-78778,88
49390,-78500,89
51264,-78948,88
51572,-78613,82
53145,-78548,89
55392,-78299,86
55481,-78770,87
58890,-78534,85
60364,-78548,85
65685,-78714,86
68261,-78370,89
70931,-78617,85
71004,-78022,86
73315,-78146,84
73850,-78633,81
74628,-78186,82
76609,-78409,89
77018,-78769,81
79267,-78804,86
81148,-78344,85
83694,-78799,89
84668,-78648,87
85311,-78631,86
90260,-78236,87
94599,-78137,89
95249,-78412,82
95482,-78716,88
99909,-78440,85
100281,-78103,88
102418,-78090,81
105886,-78782,81
106288,-78422,88
108893,-78431,89
116407,-78167,89
122590,-78372,84
122604,-78023,84
124998,-78328,82
125251,-78606,89
125957,-78718,85
127722,-78705,84
128685,-78337,88
129091,-78495,83
131508,-78860,89
133933,-78736,90
134189,-78797,86
138345,-78228,85
139473,-78428,85
140957,-78402,90
142062,-78256,85
142087,-78260,89
142804,-78044,87
143184,-78875,90
144073,-78345,84
147065,-78782,84
148270,-78282,88
152108,-78561,84
153748,-78283,81
156312,-78082,88
156585,-78928,82
156652,-78736,89
